SL_NO,gRNA_name,AA_0_ABS_GT,AA_50_ABS_GT,AA_75_ABS_GT,AA_100_ABS_GT,AA_150_ABS_GT
2279,POP7-TRg-5,2.0672,2.6008,3.0335,3.2679,4.8055
969,POP8-TRg-6,1.8641,2.6383,3.4799,3.1851,5.5265
970,POP8-TRg-6,1.8945,2.4016,3.2839,3.1332,5.6113
1017,POP8-TRg-6,1.8801,2.6981,3.2346,3.0705,5.5465
877,POP8-TRg-7,1.9533,2.5627,3.2183,3.0527,5.1948
878,POP8-TRg-7,1.9486,2.3548,3.1097,3.097,5.1657
925,POP8-TRg-7,1.994,2.6355,3.3929,3.084,5.0516
805,POP8-TRg-9,1.9826,2.7842,3.4024,3.1398,5.3134
806,POP8-TRg-9,1.8668,2.6197,3.3699,3.1321,5.1742
853,POP8-TRg-9,1.9408,2.8465,3.4403,3.1449,5.008
1381,PPT2-TRg-6,1.9538,2.797,3.3956,3.1758,5.4775
1382,PPT2-TRg-6,1.9813,2.7888,3.4411,3.2199,6.2193
1429,PPT2-TRg-6,1.9537,2.7258,3.3239,3.2509,5.5697
2447,PRE10-NRg-2,2.0206,2.7398,2.9183,3.3354,5.3949
2448,PRE10-NRg-2,1.946,2.6135,2.7876,3.3051,5.4572
2495,PRE10-NRg-2,1.9683,3.0974,3.2301,3.3291,6.3379
2155,PRE10-TRg-1,1.9731,2.7873,3.1366,3.4219,5.2413
2156,PRE10-TRg-1,1.9424,2.9445,3.2703,3.4603,5.4683
2203,PRE10-TRg-1,1.9746,2.8052,3.188,3.5592,5.5952
1569,PRE10-TRg-9,1.9009,2.5693,2.9556,3.2419,4.7675
1570,PRE10-TRg-9,1.967,2.6021,2.8848,3.2748,4.8731
1617,PRE10-TRg-9,2.0469,2.6889,2.9847,3.3926,6.19
17,PRO3-NRg-7,2.3654,2.8909,4.0231,3.5518,5.3892
18,PRO3-NRg-7,2.4056,2.8844,3.9343,3.4895,5.4526
65,PRO3-NRg-7,2.2971,2.9224,3.9967,3.2183,6.0477
1249,PRP38-NRg-5,2.0319,2.7235,3.3642,3.5946,6.3845
1250,PRP38-NRg-5,1.947,2.7512,3.3993,3.1149,6.283
1297,PRP38-NRg-5,1.9265,2.8142,3.2539,3.7817,6.4698
2521,PRP40-TRg-3,2.0386,2.4547,2.9733,3.3952,4.7909
2522,PRP40-TRg-3,2.0423,2.5947,3.0787,3.5154,4.7944
2569,PRP40-TRg-3,2.027,2.6658,3.0943,3.4219,4.8892
2153,PUP3-NRg-2,1.931,2.6329,3.0971,3.4148,4.7054
2154,PUP3-NRg-2,1.9167,2.7872,3.1066,3.4107,4.9422
2201,PUP3-NRg-2,1.9324,2.658,3.0659,3.4969,4.9478
1837,PUP3-TRg-11,1.9951,2.7697,3.2307,3.3484,5.1909
1838,PUP3-TRg-11,1.9541,2.8294,3.4128,3.4801,5.0072
1885,PUP3-TRg-11,1.9841,2.7988,3.0257,3.3746,5.2312
2693,PUP3-TRg-5,NoGrowth,2.8422,3.2098,3.7169,8.4886
2694,PUP3-TRg-5,NoGrowth,3.0043,3.3674,3.8657,8.5322
2741,PUP3-TRg-5,NoGrowth,2.8343,3.5541,3.6817,8.9513
2709,PUP3-TRg-6,NoGrowth,2.7135,3.2221,3.9921,8.8425
2710,PUP3-TRg-6,NoGrowth,2.7315,3.2543,3.8495,8.8035
2757,PUP3-TRg-6,NoGrowth,2.7816,3.1425,4.0469,9.9509
1649,QCR2-NRg-12,2.0759,2.8117,3.1838,3.2886,5.3844
1650,QCR2-NRg-12,2.0335,2.7953,3.249,3.3463,5.9705
1697,QCR2-NRg-12,2.0374,2.7496,3.2433,3.1981,5.4123
2615,QCR2-NRg-5,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2616,QCR2-NRg-5,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2663,QCR2-NRg-5,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2347,QCR2-NRg-7,1.9551,2.8335,3.161,3.4271,5.7267
2348,QCR2-NRg-7,1.9318,2.9533,3.1773,3.4281,5.7386
2395,QCR2-NRg-7,1.9381,2.9157,3.2293,3.4454,5.8681
1943,QRI1-NRg-4,2.0099,2.7313,3.151,3.3443,5.0639
1944,QRI1-NRg-4,2.0306,2.8726,3.2428,3.4058,4.9791
1991,QRI1-NRg-4,2.0413,2.5338,3.132,3.3899,5.0751
1351,QRI5-NRg-5,1.9152,2.704,3.3563,3.0381,5.4707
1352,QRI5-NRg-5,1.8673,2.6283,3.2459,3.0373,5.6284
1399,QRI5-NRg-5,1.8537,2.6197,3.1858,3.1887,5.7126
515,RAM2-NRg-1,2.0989,2.8068,3.6307,3.2444,5.1486
516,RAM2-NRg-1,2.0019,2.9079,3.7534,3.2643,5.1166
563,RAM2-NRg-1,2.0713,2.6856,3.3342,3.0126,5.0481
993,RAM2-TRg-1,2.1189,2.5329,3.5328,3.1388,5.2407
994,RAM2-TRg-1,2.0317,2.4149,3.4104,3.0205,5.1813
1041,RAM2-TRg-1,2.0899,2.6473,3.544,3.2175,5.0573
693,RAM2-TRg-4,2.075,2.6718,3.5219,3.0061,4.9199
694,RAM2-TRg-4,2.0597,2.5043,3.5075,3.0267,4.7109
741,RAM2-TRg-4,2.0993,2.5131,3.62,3.0159,4.7799
769,RAM2-TRg-6,1.9537,2.8751,3.6689,3.2491,5.7803
770,RAM2-TRg-6,1.9536,2.7272,3.4098,3.428,6.1151
817,RAM2-TRg-6,1.9426,3.0272,3.6318,3.2517,5.544
1669,RAP1-NRg-2,1.9792,2.7311,3.0027,3.3653,5.6105
1670,RAP1-NRg-2,1.9168,2.7791,3.0193,3.4471,5.5989
1717,RAP1-NRg-2,1.9758,2.693,3.0151,3.4592,5.8222
2349,RAP1-NRg-5,1.977,2.8244,3.3981,3.5208,8.031
2350,RAP1-NRg-5,1.9328,2.9108,3.3166,3.6048,8.0358
2397,RAP1-NRg-5,1.97,2.9204,3.4316,3.66,8.368
1757,RAT1-TRg-3,2.1485,2.7166,2.9604,3.1684,5.3532
1758,RAT1-TRg-3,2.0143,2.7226,3.0538,3.3391,4.8763
1805,RAT1-TRg-3,2.0453,2.6897,3.0297,3.3566,5.2584
1733,RAT1-TRg-7,2.0348,3.1596,3.2321,3.5549,6.5777
1734,RAT1-TRg-7,1.9942,3.0101,3.3544,3.8738,6.2942
1781,RAT1-TRg-7,1.984,3.0174,3.2575,3.5905,6.875
1373,RCF1-NRg-5,2.0968,2.7685,3.4109,3.6058,NoGrowth
1374,RCF1-NRg-5,2.043,2.746,3.5174,3.6606,NoGrowth
1421,RCF1-NRg-5,2.0927,2.7639,3.442,3.6378,NoGrowth
997,RET1-TRg-7,1.962,2.6988,3.4298,3.0948,5.3926
998,RET1-TRg-7,1.9745,2.7288,3.5102,3.1549,5.3041
1045,RET1-TRg-7,1.9753,2.5726,3.3657,3.0731,4.909
331,RET2-NRg-4,2.1723,3.0931,3.2867,3.4041,5.6092
332,RET2-NRg-4,2.1938,3.1144,3.5725,3.4087,5.6601
379,RET2-NRg-4,2.1124,3.1457,3.7864,3.4411,5.3467
201,RET2-TRg-1,2.0178,2.9687,3.5012,3.5196,5.9617
202,RET2-TRg-1,2.082,2.8573,3.5637,3.4931,7.398
249,RET2-TRg-1,1.985,3.0008,3.638,3.6061,6.3488
2431,RFA3-NRg-10,1.993,2.5542,3.0344,3.3075,4.6618
2432,RFA3-NRg-10,1.9884,2.6272,3.0874,3.4352,4.6684
2479,RFA3-NRg-10,1.9954,2.5113,3.1876,3.4568,5.1683
2625,RFA3-NRg-11,1.9819,2.4906,2.9718,3.4966,5.2221
2626,RFA3-NRg-11,1.9792,2.5212,3.0727,3.4791,5.1401
2673,RFA3-NRg-11,1.9307,2.7899,3.3576,3.3698,5.6468
2055,RFA3-NRg-6,1.9088,2.5547,3.0369,3.2949,5.2029
2056,RFA3-NRg-6,1.978,2.7077,3.1115,3.394,4.9843
2103,RFA3-NRg-6,1.9245,2.5588,3.106,3.3829,5.2755
2787,RFA3-TRg-1,1.8192,2.5633,3.3803,3.2655,6.264
2788,RFA3-TRg-1,1.8631,2.6351,3.3538,3.2486,6.1592
2835,RFA3-TRg-1,1.8075,2.8648,3.4968,3.1795,6.2058
2157,RHO3-NRg-4,1.9992,2.8615,3.1351,3.2757,6.018
2158,RHO3-NRg-4,1.9781,2.9789,3.1581,3.4251,6.1806
2205,RHO3-NRg-4,2.0103,2.9714,3.1877,3.3862,6.8712
1455,RHO3-NRg-6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1456,RHO3-NRg-6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1503,RHO3-NRg-6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1771,RHO3-TRg-3,2.0144,2.8559,2.9442,3.2955,6.057
1772,RHO3-TRg-3,1.9237,2.8949,3.0208,3.3176,5.313
1819,RHO3-TRg-3,1.9605,2.6324,2.986,3.3807,5.3542
2215,RHO3-TRg-4,1.8476,2.7161,3.113,3.3832,6.0109
2216,RHO3-TRg-4,1.8117,2.6632,3.3277,3.3616,5.7278
2263,RHO3-TRg-4,1.8652,2.9198,3.2271,3.4215,6.2725
9,RIA1-NRg-2,2.24,2.9067,4.0539,3.5695,5.7201
10,RIA1-NRg-2,2.2997,2.9547,3.9383,3.543,5.5951
57,RIA1-NRg-2,2.1975,3.1506,3.9032,3.6394,6.2335
1097,RIA1-TRg-5,1.9737,2.8388,3.5656,3.2066,5.8411
1098,RIA1-TRg-5,1.9901,2.8645,3.5375,3.2055,5.439
1145,RIA1-TRg-5,1.9689,2.7147,3.4828,3.1489,5.6423
523,RIA1-TRg-6,1.9542,3.2062,3.3677,3.1845,5.9504
524,RIA1-TRg-6,2.0273,3.2659,3.4295,3.3575,5.7347
571,RIA1-TRg-6,1.9937,3.0425,3.3976,3.1105,5.4674
1447,RIB5-NRg-1,1.8984,2.7052,3.7652,3.1202,5.6951
1448,RIB5-NRg-1,1.9086,2.6388,3.4634,3.223,5.8116
1495,RIB5-NRg-1,1.9501,2.6775,3.4087,3.5109,6.212
1345,RIC1-TRg-7,1.9412,3.0649,3.6806,3.6443,6.5173
1346,RIC1-TRg-7,2.0445,2.8467,3.4408,3.3437,6.4702
1393,RIC1-TRg-7,2.0187,3.2194,3.5083,3.577,7.0013
1061,RIM2-NRg-1,1.9001,2.5325,3.375,3.0937,5.0933
1062,RIM2-NRg-1,1.939,2.4334,3.3305,3.1431,5.4878
1109,RIM2-NRg-1,1.884,2.5744,3.1899,3.1475,5.6766
327,RIM2-NRg-4,2.0396,2.9953,3.5635,3.3758,6.1041
328,RIM2-NRg-4,2.0862,2.9119,3.4822,3.4005,5.7653
375,RIM2-NRg-4,2.0673,2.9116,3.6224,3.3384,5.3926
499,RIO1-TRg-5,2.0734,2.6745,3.6937,3.1756,4.9391
500,RIO1-TRg-5,1.9902,2.6356,3.8025,3.1952,4.9463
547,RIO1-TRg-5,1.9964,2.6461,3.633,3.2278,5.0265
39,RNA1-TRg-7,2.2044,3.058,3.6602,3.572,5.913
40,RNA1-TRg-7,2.1966,3.0977,3.7375,3.5348,6.5579
87,RNA1-TRg-7,2.2098,3.3962,3.6894,3.4029,7.9635
1265,RNR2-NRg-5,2.0515,2.7167,3.4295,2.8889,5.2666
1266,RNR2-NRg-5,2.0478,2.6042,3.424,2.9704,5.3309
1313,RNR2-NRg-5,1.9596,2.5399,3.4203,2.9681,5.3012
1199,RNR2-NRg-6,2.013,3.0548,3.9406,3.1778,5.44
1200,RNR2-NRg-6,1.9808,2.7896,3.7114,3.1086,5.2786
1247,RNR2-NRg-6,2.0468,2.9573,3.7776,3.2382,5.4635
409,RPA190-TRg-7,2.2741,2.6934,3.7867,3.2501,5.3113
410,RPA190-TRg-7,2.0899,2.6204,3.7776,3.2175,5.1087
457,RPA190-TRg-7,2.2144,2.7192,3.8513,3.2149,4.5994
207,RPB11-NRg-5,2.1408,2.8633,3.9803,3.3003,6.0245
208,RPB11-NRg-5,2.1671,2.8127,3.9636,3.2549,5.6447
255,RPB11-NRg-5,2.1139,2.9092,3.7428,3.1361,5.3106
709,RPB11-TRg-1,2.0014,2.8486,3.6399,3.3477,6.1849
710,RPB11-TRg-1,1.9782,2.8685,3.5456,3.2641,7.2158
757,RPB11-TRg-1,1.9292,2.8083,3.5599,3.2906,6.1813
129,RPB11-TRg-5,2.2719,3.1409,3.7919,3.5595,6.5114
130,RPB11-TRg-5,2.2349,3.1775,3.9251,3.2193,5.8105
177,RPB11-TRg-5,2.2768,2.8714,4.0184,3.3646,5.4904
47,RPB3-TRg-3,2.2113,3.108,3.359,3.6582,5.4503
48,RPB3-TRg-3,NoGrowth,3.0425,3.2354,3.749,5.7274
95,RPB3-TRg-3,2.1631,3.052,3.5598,3.5144,5.9926
715,RPB3-TRg-4,1.9995,3.0042,3.6008,3.2709,5.566
716,RPB3-TRg-4,2.01,3.0952,3.59,3.1749,5.5339
763,RPB3-TRg-4,1.9588,3.061,3.6845,3.2275,5.0325
289,RPB5-NRg-1,1.9965,3.0922,3.5049,3.3812,5.8765
290,RPB5-NRg-1,1.9508,2.965,3.5363,3.4895,6.4506
337,RPB5-NRg-1,1.9865,2.8533,3.6029,3.2281,6.3591
1003,RPB5-TRg-2,1.9517,3.0507,3.5874,3.2359,5.3836
1004,RPB5-TRg-2,1.8948,2.9241,3.5271,3.1162,5.2152
1051,RPB5-TRg-2,1.9683,2.6919,3.217,3.0997,5.8531
1275,RPB5-TRg-5,2.0621,2.7986,3.6427,3.5429,9.9825
1276,RPB5-TRg-5,2.0283,2.7246,3.69,3.6881,10.0129
1323,RPB5-TRg-5,2.1417,2.8009,3.7243,3.6702,13.091
1165,RPB5-TRg-7,1.9421,2.5765,3.3607,3.052,5.1705
1166,RPB5-TRg-7,1.954,2.504,3.3877,3.0557,5.3806
1213,RPB5-TRg-7,1.9682,2.4027,3.3242,2.9943,5.2173
143,RPB7-NRg-3,2.2366,3.0428,3.7579,3.7699,6.3594
144,RPB7-NRg-3,2.2226,3.0173,3.5874,3.687,8.0105
